"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0031099","regeneration","14/288","204/18986",0.0686274509803922,4.52416938997821,6.28065455445156,2.98207110970366e-06,0.000360110794006284,0.000295176330895168,"CLDN1/THY1/CCND1/SLC7A5/PDX1/CEBPB/SPP1/IL6/ANXA3/TNC/CDK1/AURKA/KLK6/NNMT",14
"BP","GO:0007566","embryo implantation","8/288","62/18986",0.129032258064516,8.50627240143369,7.34712895932527,4.22880399382612e-06,0.000493642386212636,0.000404629771619784,"TEAD4/STC2/STC1/SPP1/TIMP1/IL1B/IGFBP7/MMP9",8
"BP","GO:0097530","granulocyte migration","12/288","156/18986",0.0769230769230769,5.07104700854701,6.33646766912447,4.76313334418834e-06,0.00051809971551351,0.000424677003879089,"IL1B/CXCL2/DPEP1/TNFAIP6/TREM1/S100A8/CXCL3/S100A9/CXCL5/CXCL10/CXCL1/CXCL11",12
"BP","GO:0090068","positive regulation of cell cycle process","16/288","274/18986",0.0583941605839416,3.84955393349554,5.89652338413453,4.80698358668774e-06,0.00051809971551351,0.000424677003879089,"CCND1/CDC6/ECT2/IL1B/CDC25B/FAM83D/SKA3/CDCA5/UBE2C/SPHK1/CDK1/RRM2/MAD2L1/AURKA/MSX2/EREG",16
"BP","GO:0097529","myeloid leukocyte migration","15/288","243/18986",0.0617283950617284,4.06935871056241,5.97633863453473,4.88215037462759e-06,0.00051809971551351,0.000424677003879089,"MMP14/IL1B/IL6/CXCL2/DPEP1/TNFAIP6/TREM1/S100A8/CXCL3/S100A9/CXCL5/SERPINE1/CXCL10/CXCL1/CXCL11",15
"BP","GO:0098773","skin epidermis development","11/288","132/18986",0.0833333333333333,5.49363425925926,6.42964364036915,5.51339667770022e-06,0.000567879857803122,0.000465480889786021,"CLDN1/INHBA/CDH3/MET/SNAI1/SHH/FOXQ1/IGFBP5/KRT17/MSX2/LGR5",11
"BP","GO:0052547","regulation of peptidase activity","18/288","346/18986",0.0520231213872832,3.42955202312139,5.66037579516681,6.18255155349004e-06,0.000593559157816592,0.000486529749426147,"SERPINH1/PMAIP1/CST1/PRR7/COL6A3/TIMP1/MYC/PRSS22/DPEP1/TFPI2/S100A8/SERPINE2/S100A9/SERPINE1/IFI6/EFNA3/SERPINB5/MMP9",18
"BP","GO:0097421","liver regeneration","6/288","31/18986",0.193548387096774,12.7594086021505,8.13220654362928,6.18871750099609e-06,0.000593559157816592,0.000486529749426147,"CLDN1/CCND1/SLC7A5/CEBPB/IL6/AURKA",6
"BP","GO:0048144","fibroblast proliferation","10/288","109/18986",0.0917431192660551,6.0480377166157,6.55953900797591,6.27118470565789e-06,0.000593559157816592,0.000486529749426147,"WNT2/CDC6/CKS2/E2F1/MYC/COL3A1/SPHK1/CDK1/EREG/FN1",10
"BP","GO:0030879","mammary gland development","11/288","136/18986",0.0808823529411765,5.33205678104575,6.29233569604755,7.35221812277579e-06,0.000677373702242658,0.000555231021676554,"WNT2/NME1/CCND1/APLN/CEBPB/SLC29A1/ITGA2/IQGAP3/IGFBP5/MSX2/AREG",11
"BP","GO:0001666","response to hypoxia","17/288","317/18986",0.0536277602523659,3.53533561163687,5.64948066680325,7.54356778625461e-06,0.000677373702242658,0.000555231021676554,"INHBA/HILPDA/LOXL2/STC2/AJUBA/PMAIP1/PLAU/STC1/MMP14/EDNRA/SLC29A1/MYC/SOX4/ITGA2/ASCL2/CA9/DDIT4",17
"BP","GO:0032496","response to lipopolysaccharide","18/288","354/18986",0.0508474576271186,3.35204802259887,5.54398497728865,8.45586792167495e-06,0.000740311236542642,0.0006068197848002,"CLDN1/MMP3/SLC7A5/CEBPB/E2F1/IL1B/IL6/SPON2/CXCL2/S100A8/CXCL3/CXCL5/SERPINE1/CXCL10/CXCL1/CXCL11/C2/MMP9",18
"BP","GO:0071230","cellular response to amino acid stimulus","9/288","91/18986",0.0989010989010989,6.51991758241758,6.55064113850454,9.91544274335364e-06,0.000846923914322548,0.000694208276280498,"COL4A1/MMP3/COL1A1/COL5A2/COL1A2/GRIN2D/SLC7A5/CEBPB/COL3A1",9
