"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0141108","transporter regulator activity","16/796","169/18737",0.0946745562130177,2.2285391454313,3.3792586749454,0.00231309039479495,0.0349990572166477,0.0297461138519733,"NPY/SCN4B/GPD1L/PDE4D/NEDD4L/CHP1/SRI/LRRC26/BCL2/CLCN2/CAV1/KCNS3/FKBP1B/FXYD3/SGK2/KCNMB1",16
"MF","GO:0016229","steroid dehydrogenase activity","6/796","33/18737",0.181818181818182,4.27980813156693,3.97200522333122,0.00239064409707368,0.0349990572166477,0.0297461138519733,"DHRS11/DHRS9/HSD11B2/HSD3B2/HSD17B2/AKR1C3",6
"MF","GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","5/796","23/18737",0.217391304347826,5.11716189643872,4.16150288339822,0.00242816425665737,0.0349990572166477,0.0297461138519733,"PDE5A/PDE9A/PDE4D/PDE8A/PDE3A",5
"MF","GO:0140103","catalytic activity, acting on a glycoprotein","5/796","23/18737",0.217391304347826,5.11716189643872,4.16150288339822,0.00242816425665737,0.0349990572166477,0.0297461138519733,"B3GNT6/GCNT3/MGAT4A/B4GALNT3/ABO",5
"MF","GO:0022834","ligand-gated channel activity","17/796","186/18737",0.0913978494623656,2.15140892635219,3.32409977588609,0.00249476290723207,0.0353495218719663,0.0300439779193872,"BEST4/CLCA4/P2RX1/TRPA1/SCNN1B/CLCA1/ANO7/P2RX4/BEST2/TRPM4/ANO5/FKBP1B/MCOLN2/SCNN1A/CHRNA3/KCNMA1/KCNMB1",17
"MF","GO:0046873","metal ion transmembrane transporter activity","32/796","444/18737",0.0720720720720721,1.69650052062112,3.1285428876952,0.00261093681617438,0.0363790529720297,0.0309189886125913,"TRPM6/CNNM2/P2RX1/TRPA1/SCNN1B/ATP2A3/SLC9A1/SLC4A4/SCN4B/CNNM4/SLC17A4/P2RX4/SLC9A2/TRPM4/CHP1/SLC6A9/LRRC26/KCNS3/TMEM37/FKBP1B/MCOLN2/ATP1A2/SCN7A/SLC9A3/SCNN1A/NIPAL1/SLC6A8/SLC28A2/ATP2C2/KCNMA1/SLC13A2/KCNMB1",32
"MF","GO:0008376","acetylgalactosaminyltransferase activity","6/796","34/18737",0.176470588235294,4.15393142181496,3.87710637828131,0.00280028125112191,0.0380867773029802,0.0323704037767711,"GALNT12/B4GALNT2/GALNT7/B4GALNT3/GALNT8/ABO",6
"MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","5/796","24/18737",0.208333333333333,4.90394681742044,4.03096896465386,0.00296129249365276,0.0380867773029802,0.0323704037767711,"PDE5A/PDE9A/PDE4D/PDE8A/PDE3A",5
"MF","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","5/796","24/18737",0.208333333333333,4.90394681742044,4.03096896465386,0.00296129249365276,0.0380867773029802,0.0323704037767711,"PDE5A/PDE9A/PDE4D/PDE8A/PDE3A",5
"MF","GO:0030215","semaphorin receptor binding","5/796","24/18737",0.208333333333333,4.90394681742044,4.03096896465386,0.00296129249365276,0.0380867773029802,0.0323704037767711,"SEMA6D/SEMA6A/SEMA3G/SEMA3B/SEMA4G",5
"MF","GO:0070300","phosphatidic acid binding","5/796","24/18737",0.208333333333333,4.90394681742044,4.03096896465386,0.00296129249365276,0.0380867773029802,0.0323704037767711,"PLCD1/PACSIN2/SMPD3/CIDEC/JPH2",5
"MF","GO:0016782","transferase activity, transferring sulphur-containing groups","9/796","71/18737",0.126760563380282,2.98380989454314,3.5275667897291,0.00303318497445121,0.0384203430097154,0.0326539052273456,"WSCD1/CHST5/SULT1B1/SULT1A2/OXCT1/SULT1A4/TST/SULT1A1/GAL3ST2",9
"MF","GO:0099106","ion channel regulator activity","15/796","159/18737",0.0943396226415094,2.22065516260548,3.2558450254427,0.00322971384996831,0.040299116098112,0.0342506967592868,"NPY/SCN4B/GPD1L/PDE4D/NEDD4L/CHP1/SRI/LRRC26/CLCN2/CAV1/KCNS3/FKBP1B/FXYD3/SGK2/KCNMB1",15
"MF","GO:1901681","sulfur compound binding","22/796","277/18737",0.0794223826714801,1.86951907552201,3.07096452648525,0.00375098636978756,0.0460119714220556,0.0391061202592389,"P2RX1/PTN/RSPO2/CTSG/CLEC3B/GSTM2/SFRP1/GREM2/LIPH/CCL15/SLIT3/NDNF/CCL23/TNXB/SULT1A4/FGFR1/SULT1A1/COL17A1/DMBT1/REG4/SOD3/CXCL13",22
"MF","GO:0004198","calcium-dependent cysteine-type endopeptidase activity","4/796","16/18737",0.25,5.88473618090452,4.11725942379949,0.00390771527627505,0.0460119714220556,0.0391061202592389,"CAPN5/CAPN2/CAPN9/CAPN13",4
"MF","GO:0015385","sodium:proton antiporter activity","4/796","16/18737",0.25,5.88473618090452,4.11725942379949,0.00390771527627505,0.0460119714220556,0.0391061202592389,"SLC9A1/SLC9A2/CHP1/SLC9A3",4
"MF","GO:0140327","flippase activity","4/796","16/18737",0.25,5.88473618090452,4.11725942379949,0.00390771527627505,0.0460119714220556,0.0391061202592389,"ATP8B1/ATP8A1/TMEM30B/ABCB1",4
"MF","GO:0005253","monoatomic anion channel activity","11/796","102/18737",0.107843137254902,2.5385136466647,3.28177188267118,0.00401546434295336,0.0466240026487362,0.0396262928580923,"BEST4/CLCA4/CLCA1/ANO7/CLIC5/BEST2/ANO5/CLCN2/CLIC6/FXYD3/TMC4",11
"MF","GO:0004112","cyclic-nucleotide phosphodiesterase activity","5/796","26/18737",0.192307692307692,4.52672013915733,3.79036315787589,0.00427258808688898,0.0489299128854683,0.0415861133186742,"PDE5A/PDE9A/PDE4D/PDE8A/PDE3A",5
"MF","GO:0042379","chemokine receptor binding","9/796","75/18737",0.12,2.82467336683417,3.33509586453145,0.00440332942597437,0.0497457216231699,0.042279478841148,"CCL28/CXCL14/CCL11/CCL15/CCL23/CCL5/CCL13/S100A14/CXCL13",9
