"var","HR","p","lower","upper"
"riskScore",3.24661453695333,4.94719525848142e-11,2.28517257571917,4.61256452293955
"age",1.02981929434501,0.00111828790718825,1.01178072299464,1.04817946705521
"stageIII-IV",2.30348329787457,0.000233396663249039,1.47696379126387,3.59252903488353
