"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0098771","inorganic ion homeostasis",359,-0.416643213140258,-1.77411241292143,2.11549419688762e-07,9.74775767604841e-06,7.61606830827552e-06,2127,"tags=33%, list=18%, signal=28%","9843/1236/8989/2495/845/6341/4089/90550/51218/578/481/27020/57192/5330/1193/5350/5144/11151/54499/3759/5167/801/8031/5169/2235/5663/164656/5009/7504/6357/1910/2034/5788/287/5745/1318/57217/30061/3932/27069/51310/9114/54583/490/9914/9709/147138/348/817/483/6786/10939/391059/84239/3954/6355/623/6332/729230/79901/4756/3778/567/3162/4504/5579/5336/930/1356/794/6366/477/654/122416/2185/6548/326343/7421/2281/5023/79085/596/6717/6359/489/54805/57402/288/159371/6505/1907/6363/6337/6368/26504/66002/6358/6352/2946/51196/5028/5333/4502/4501/6387/771/55532/10590/1908/6338/4494/4493/286133/4495/4496/4499/406992"
"BP","GO:0008608","attachment of spindle microtubules to kinetochore",45,0.672099598030087,2.26853740651593,2.28484191426051e-07,1.04601536926404e-05,8.17267393032943e-06,2470,"tags=71%, list=21%, signal=57%","1894/983/221150/83540/891/57405/332/11004/29127/4751/79980/81620/9212/22919/147841/10615/55143/10403/55055/5925/91272/3619/55920/220134/1062/9183/3192/9735/8379/81929/7756/9184"
"CC","GO:0005581","collagen trimer",51,0.644580283663316,2.2499780622774,2.32273291481885e-07,1.05654568997145e-05,8.2549488949736e-06,682,"tags=41%, list=6%, signal=39%","115908/1277/1282/1301/1295/1278/1290/1303/1293/1300/1281/1284/1289/80781/1306/1294/114902/4015/4060/85301/50509"
"BP","GO:0072329","monocarboxylic acid catabolic process",106,-0.567425032288614,-2.09621806975339,2.40977429385006e-07,1.08915658529682e-05,8.50974267898645e-06,2834,"tags=54%, list=24%, signal=41%","64900/5096/51181/2109/5095/3712/189/23600/10005/3423/283927/5465/56898/9663/1666/1375/1892/5826/11001/80724/2166/1962/54677/3030/549/5467/6566/5825/1632/3032/2108/5264/83667/37/6342/30/5106/1384/3033/34/1374/55268/32/51/10455/1376/38/2110/1891/10449/66002/171586/35/197257/5105/84830/2168"
"BP","GO:0042770","signal transduction in response to DNA damage",165,0.455188619202804,1.95254119714162,2.60790524059062e-07,1.17124655615386e-05,9.15112385222572e-06,2511,"tags=38%, list=21%, signal=30%","8870/983/5366/6615/6659/1869/595/5347/5591/7023/9521/2305/960/1017/51514/1111/4282/9675/672/29980/51512/55159/79621/51360/1029/11200/8451/54962/144455/10459/2177/637/545/25896/4436/8525/56950/4683/641/9656/54584/27339/5810/5888/9025/63967/835/23028/79968/5781/580/146956/4067/84126/9894/988/22976/11073/60561/7158/8444/5371"
"CC","GO:0005635","nuclear envelope",397,0.352089896907224,1.66434012891602,3.1491721201188e-07,1.40544184681529e-05,1.09809265519138e-05,3115,"tags=39%, list=26%, signal=30%","5653/6581/1434/4085/54894/54498/1717/595/3838/27346/8904/11335/23223/29107/8480/1019/5743/3843/23560/84823/11260/1017/51514/203068/10280/27000/10204/1063/10527/4521/666/5901/26031/10885/64782/23165/51750/127845/1069/5905/5902/169714/64328/9688/23511/348995/7301/598/1844/51246/6804/9631/5422/9805/3839/51649/79023/57122/51230/129401/6240/23279/1003/85450/79050/3249/7329/811/545/23236/55795/51096/23225/27101/5987/2023/2010/79188/4600/9536/55787/54830/11270/4001/3930/6049/10430/57647/55749/51131/4599/84629/1192/51194/22927/199953/55627/8815/4928/7514/9330/10434/8089/3837/7108/56943/3601/2597/55183/26173/8379/55705/29843/9972/92140/23468/664/79902/55746/163183/55120/51634/81929/123920/821/5371/9883/100101267/22929/57508/6426/23534/274/9107/8087/151188/53371/4008/9538/23636/79073/25909/10682/5903/6836/113878/23175/241/3267/142/203228/1773/51530/10227/84928"
"CC","GO:0005788","endoplasmic reticulum lumen",228,0.414590458608837,1.86317886735679,3.22073440052656e-07,1.42839570663353e-05,1.11602684786667e-05,2014,"tags=33%, list=17%, signal=28%","6696/1277/1282/1301/1295/1278/3371/1290/7076/1303/1293/1300/8614/60681/1281/1284/255738/1289/54905/54972/3569/80781/147111/871/10272/3488/5954/813/2335/1306/1462/3490/6469/493869/1294/7474/11167/5743/54431/55757/5329/85301/5155/64856/50509/8985/51148/1299/51246/55033/2200/10098/1291/10232/9601/7466/11173/811/3309/3915/79188/336/11098/3912/2882/51156/7873/57333/51661/3956/23621/6868/54587/10525/5955"
"BP","GO:0000226","microtubule cytoskeleton organization",460,0.331380889459448,1.58910063634522,3.27752409165896e-07,1.44455347542932e-05,1.12865115336827e-05,2243,"tags=27%, list=19%, signal=23%","10381/4605/22974/29128/89958/983/221150/26586/4085/4233/6790/440145/50861/83540/5347/25879/891/10112/8480/3833/57405/332/81624/11004/55226/29127/1017/4751/203068/24137/1111/4869/1058/7272/63979/899/9787/9493/991/5901/29899/9055/51203/55722/146909/9793/9212/22919/64946/672/54801/4957/7516/1069/3832/5902/10615/10910/26271/79866/7465/28989/10783/81930/2648/10464/10460/26973/84722/11200/7283/55559/55143/1104/84790/259266/284403/9133/56907/1003/117178/10403/3925/636/3619/9654/6491/56992/2697/1020/221908/23271/157922/9700/50855/282809/54820/7415/10426/1499/10733/91147/9820/220134/10726/1062/84617/11190/7514/58526/10376/9183/3837/121441/55142/4134/55835/2597/3192/6188/8243/152185/23059/22981"
"BP","GO:0071280","cellular response to copper ion",20,-0.846893199061708,-2.26369936449831,3.32394875984867e-07,1.45062503345757e-05,1.13339495211847e-05,698,"tags=45%, list=6%, signal=42%","4504/326343/4502/4501/4494/4493/4495/4496/4499"
"BP","GO:0015698","inorganic anion transport",93,-0.579773595395196,-2.08143517305538,3.33218546298738e-07,1.45062503345757e-05,1.13339495211847e-05,716,"tags=24%, list=6%, signal=22%","203859/219855/7421/147798/1181/5205/6505/5243/53405/50636/54831/5349/5348/10050/8671/1179/1836/760/1811/266675/766/22802"
