"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0030042","actin filament depolymerization",41,-0.591588117122108,-1.80042003039101,0.00273908792812536,0.0302279439159837,0.0248461753454082,2527,"tags=51%, list=21%, signal=41%","64780/57026/29766/29767/6840/9948/832/2314/9645/11078/2059/57553/118/23616/10677/2150/51474/50853/25802/2934/85477"
"CC","GO:1905369","endopeptidase complex",88,0.469059984844792,1.64796848698112,0.00277862217592369,0.0306166195036561,0.0251656513187204,4229,"tags=62%, list=35%, signal=41%","8547/78989/3075/5688/11047/2219/83943/5328/10213/5683/5329/5690/5718/5701/5684/5887/128869/23198/5682/5689/7415/56893/835/5695/5886/5693/80227/5713/5692/51377/5710/5686/10197/9861/23203/9097/29979/5719/5698/5707/9491/5691/5717/8733/5721/5702/5704/5716/5708/9690/5711/7056/5696/5706/5709"
"BP","GO:0086004","regulation of cardiac muscle cell contraction",24,-0.683262055575158,-1.86425436071658,0.0027882351012692,0.0306274245798858,0.0251745326643843,1002,"tags=50%, list=8%, signal=46%","1829/5318/10142/817/287/5144/1824/54795/477/6717/857/5350"
"BP","GO:0019217","regulation of fatty acid metabolic process",71,0.494692138182865,1.69315310560154,0.00278772025632968,0.0306274245798858,0.0251745326643843,637,"tags=20%, list=5%, signal=19%","345/344/341/9104/57761/51085/9518/54658/54578/3638/60481/6662/2170/3553"
"BP","GO:0007218","neuropeptide signaling pathway",26,-0.653366117621835,-1.81636902530547,0.00281229856849084,0.0308440040834791,0.0253525524575087,1729,"tags=54%, list=14%, signal=46%","4886/6863/339403/2776/10800/6447/6272/4888/6751/1363/11251/27344/4852/5697"
"BP","GO:0032488","Cdc42 protein signal transduction",15,0.748740675498034,1.86964715485263,0.00282120763568807,0.0308676685591845,0.0253720037213614,140,"tags=20%, list=1%, signal=20%","335/345/348"
"CC","GO:0098803","respiratory chain complex",69,-0.510519893250242,-1.70753495476861,0.00282315627042147,0.0308676685591845,0.0253720037213614,3537,"tags=59%, list=30%, signal=42%","4709/4719/51079/23530/4708/1340/4695/4729/1349/4724/4714/4713/4720/1347/4717/6390/4704/1327/4716/374291/1337/4694/4705/4723/1329/4722/4707/4700/4698/7385/1351/1350/7386/6392/9377/29796/7384/1346/6389/125965/84419"
"BP","GO:0030168","platelet activation",110,0.450957146391914,1.6636203336607,0.00283646067405612,0.030965422989388,0.0254523539999108,1184,"tags=15%, list=10%, signal=14%","2266/2243/2244/2267/6288/3273/348/1311/2149/5270/114897/1281/2717/5478/7301/3569/5155"
"BP","GO:0050727","regulation of inflammatory response",284,0.348394686634422,1.43794333158845,0.00284334875624473,0.0309929382093896,0.0254749704234005,1412,"tags=19%, list=12%, signal=17%","335/6288/197/57817/183/5054/718/2161/5624/84699/348/64838/4318/6280/6279/1051/185/54209/8870/6348/2209/11221/8877/5008/51114/79651/7130/3949/3553/145741/81792/7097/2268/2175/3371/8692/2876/3082/975/8482/4363/7301/3569/604/90865/5740/9021/9572/9971/313/64127/101/2950/2828"
"BP","GO:0062012","regulation of small molecule metabolic process",249,0.361025900409229,1.47695515150383,0.00285274928273437,0.0310477130525815,0.0255199931799018,637,"tags=14%, list=5%, signal=13%","335/345/344/341/229/4837/9104/1066/3481/57761/4485/51085/348/23541/9518/54658/54578/5629/3638/54541/2203/60481/3953/54209/6615/2819/8870/150094/2264/6662/5366/2170/3949/3553"
