"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"BCHE",-0.865383997166332,1.679125199397,-2.24730597592502,0.02870815265634,0.0674636538505126,-4.06486032268217,"BCHE","NS"
"SEC23B",0.448139079177216,4.71962425712518,2.24492227325054,0.0288704639086927,0.0678331525844824,-4.06971930312551,"SEC23B","NS"
"PFDN1",0.292875389917827,5.10087521311352,2.2448267787405,0.0288769832098793,0.0678365417810138,-4.06991387208852,"PFDN1","NS"
"PHLDB1",-0.376541384580991,3.69511099690022,-2.24360738017653,0.0289603447349402,0.0680204124359767,-4.07239778179836,"PHLDB1","NS"
"ZNF324",-0.167107122294671,1.84086158057024,-2.24306649114886,0.0289973895452317,0.0680954515120187,-4.07349921363205,"ZNF324","NS"
"ARF3",-0.248270657027061,6.32786839560004,-2.24253456627511,0.0290338612880271,0.0681658742426036,-4.07458217753091,"ARF3","NS"
"FAM83H",0.510399230135798,4.43210016750842,2.24248035031301,0.0290375809151998,0.0681658742426036,-4.07469254573486,"FAM83H","NS"
"LGALS3BP",-0.336216809118184,7.49642878510886,-2.24233660960971,0.0290474446605875,0.0681663810226795,-4.07498515005826,"LGALS3BP","NS"
"ATG9A",-0.197441180451742,4.20698405285724,-2.24229651078962,0.0290501968423599,0.0681663810226795,-4.07506677405616,"ATG9A","NS"
"SMAD2",-0.251202880357174,2.80899721805129,-2.24225419659479,0.0290531013264601,0.0681663810226795,-4.07515290629936,"SMAD2","NS"
"ITGA3",-0.559177302187869,4.40516432465132,-2.24207680339897,0.0290652805496395,0.0681829843230833,-4.07551398266241,"ITGA3","NS"
"LOC100505876",0.168126028567512,3.57120697341173,2.24175602258291,0.0290873157542972,0.0682132264304655,-4.07616685855786,"LOC100505876","NS"
"CPQ",-0.449047568016666,3.62247026951793,-2.24174050173722,0.0290883822931292,0.0682132264304655,-4.076198445728,"CPQ","NS"
"MAT2B",-0.236847993868972,5.44563947930273,-2.24162641815566,0.0290962227838489,0.0682196400838374,-4.07643061680442,"MAT2B","NS"
"C14orf126",0.226073549235965,2.39047085462308,2.24130107585054,0.0291185924763783,0.0682601109946258,-4.07709266612177,"C14orf126","NS"
"ABCG1",-0.496667890265666,3.64935928822419,-2.24120481336378,0.0291252141506923,0.068263657512989,-4.07728853847281,"ABCG1","NS"
"FBXO18",-0.189322841131496,4.01795601648983,-2.24064386785922,0.0291638267962619,0.0683421700546565,-4.07842979722747,"FBXO18","NS"
"RALA",0.288997527912393,4.96026625651856,2.24024832698367,0.0291910810358951,0.0683924084672315,-4.07923439390726,"RALA","NS"
"SNX4",-0.282937013711407,4.3400628718431,-2.24018419611677,0.0291955020129538,0.0683924084672315,-4.07936483582133,"SNX4","NS"
"INO80B",0.23536397469482,3.72831601901782,2.23945826122924,0.0292455869470028,0.0684977270439704,-4.0808411691841,"INO80B","NS"
"GATA2",-0.331088341857099,1.47763823553451,-2.23875694487425,0.0292940455011794,0.0685992001378829,-4.08226706031553,"GATA2","NS"
"PLCB1",0.512552859508271,1.21315100254846,2.23862217141259,0.0293033660138888,0.0686090023966327,-4.08254103457782,"PLCB1","NS"
"CEP85",0.236160359367086,2.02845181301989,2.23854137562774,0.0293089548557605,0.0686100656591926,-4.08270527377166,"CEP85","NS"
"IL17RC",-0.339278275935466,3.47631542377372,-2.23827969745591,0.02932706224449,0.0686404283956691,-4.083237171504,"IL17RC","NS"
"GUCY1A3",0.572405937016162,1.87707983052755,2.2381804210559,0.0293339344781176,0.0686444890536965,-4.08343895131858,"GUCY1A3","NS"
"RNPC3",-0.249640141774258,2.41373935624156,-2.23792754343668,0.0293514459182884,0.0686734407914847,-4.08395289301216,"RNPC3","NS"
"GK5",-0.288822155680104,2.08992797186124,-2.23688568571584,0.0294236907105915,0.0688214161976689,-4.08606983039543,"GK5","NS"
"TMEM143",-0.259671913028406,1.93768094505723,-2.23686693205622,0.029424992571268,0.0688214161976689,-4.08610792825004,"TMEM143","NS"
"SEMA6B",0.449643048148948,1.9350819874962,2.23611375871137,0.0294773192359225,0.0689317360221205,-4.08763777339059,"SEMA6B","NS"
"FAM86C2P",0.229769300272715,1.21608907566568,2.23579539070063,0.0294994625544983,0.068971446833457,-4.08828431416607,"FAM86C2P","NS"
"SNHG12",0.364748030973171,3.23991869081649,2.23562904691121,0.0295110380427971,0.068986439875412,-4.08862209434372,"SNHG12","NS"
"C8orf82",-0.324854374062216,4.57815666187459,-2.23489506624572,0.0295621620568471,0.0690938620611493,-4.09011227824655,"C8orf82","NS"
"MS4A7",-0.606457889783238,2.89578529074195,-2.23383395972442,0.0296362097872843,0.0692548155260043,-4.09226590271363,"MS4A7","NS"
"FUT8",0.438410244544446,2.74504966788969,2.23372859379687,0.0296435715303763,0.0692599060655513,-4.09247970749255,"FUT8","NS"
"MKLN1",0.202758401331307,2.63310550104508,2.23349579346959,0.0296598426348215,0.069285807217917,-4.09295206802779,"MKLN1","NS"
"ZNF26",0.117100625889007,1.54710837808598,2.23260642759671,0.029722075749088,0.0694190484459559,-4.09475624949865,"ZNF26","NS"
"PURA",-0.195107281495678,2.57315946727548,-2.23227938218006,0.0297449896582168,0.0694604249935499,-4.09541954942565,"PURA","NS"
"NDST2",-0.218082648272909,2.78040173510835,-2.23136059141165,0.0298094468019135,0.069596511177309,-4.097282572448,"NDST2","NS"
"HLA-C",-0.447903440551505,9.58669561819798,-2.23130027133256,0.0298136828303335,0.069596511177309,-4.09740486067902,"HLA-C","NS"
"WWC1",0.338426485234844,2.38134528397053,2.23049546797587,0.0298702517356113,0.0697163849242338,-4.09903619456444,"WWC1","NS"
"PAPD5",0.23974241405442,1.93495015587289,2.23036272589018,0.0298795911628415,0.06972600368807,-4.09930521556332,"PAPD5","NS"
"RPS12",0.300361736684263,10.4720706701317,2.22991835182965,0.0299108750753611,0.069786819060062,-4.10020570730806,"RPS12","NS"
"YBEY",-0.448596645107067,3.18811282265892,-2.22893793144353,0.0299799989953466,0.0699358845279019,-4.10219193262528,"YBEY","NS"
"APOBEC3G",-0.40942650988191,1.97904438670471,-2.228775692642,0.0299914511377082,0.0699503875199959,-4.10252054110298,"APOBEC3G","NS"
"ZNF18",-0.160909111398577,1.38335578332613,-2.2285181148466,0.0300096410247056,0.069978054210485,-4.10304221438214,"ZNF18","NS"
"CYP4X1",0.547808086881911,1.08402117122442,2.22845941789754,0.0300137875078798,0.069978054210485,-4.1031610865503,"CYP4X1","NS"
"PSMD2",0.223082210997831,5.66239532854138,2.22827410760266,0.0300268815609418,0.0699963697517978,-4.10353635712884,"PSMD2","NS"
"SEH1L",0.351378640653627,3.64582172757241,2.22811042275308,0.0300384517536774,0.0700111272165774,-4.10386781267787,"SEH1L","NS"
"BLVRB",-0.422875774529835,5.57577601085583,-2.22787390594072,0.0300551770875281,0.0700378926131061,-4.10434671454805,"BLVRB","NS"
"VAMP3",-0.208620497913755,5.26783793513738,-2.22772262583612,0.0300658792033277,0.0700506151551639,-4.10465300611144,"VAMP3","NS"
"STOML2",0.322829592817101,5.7296314905974,2.22748553110257,0.0300826589361331,0.0700774910572892,-4.1051330089194,"STOML2","NS"
"RBBP6",0.19125899696402,3.26077151438602,2.22714537624171,0.0301067469143718,0.0701213791650403,-4.10582158503134,"RBBP6","NS"
"TK1",0.510740936860077,4.04600294596055,2.22666778746241,0.0301405959902469,0.0701879825063922,-4.10678822190201,"TK1","NS"
"TSPYL4",0.320295510162017,2.7285648643539,2.22650745664735,0.0301519669605644,0.0702020173971831,-4.1071126920315,"TSPYL4","NS"
"ATP13A3",0.321400917327093,4.30317019101912,2.22643466607532,0.0301571306585714,0.0702020173971831,-4.10725999585643,"ATP13A3","NS"
"MAN2B1",-0.267987877625582,5.01488150555168,-2.22616053639179,0.0301765841825765,0.070235066686568,-4.10781470705245,"MAN2B1","NS"
"NEK3",0.419167561801276,3.55474033144134,2.22553744360825,0.0302208429889676,0.0703258279377543,-4.10907534708677,"NEK3","NS"
"C5orf62",0.450249838710163,3.01900728008558,2.22519866355568,0.030244930870858,0.0703696267275648,-4.10976064351191,"C5orf62","NS"
"PRSS3",-0.763609722299298,6.02249214452359,-2.22471791792516,0.0302791418650846,0.0704324830727659,-4.11073296465186,"PRSS3","NS"
"GRM8",0.864294750935494,1.58863708192173,2.22467091140782,0.0302824887930729,0.0704324830727659,-4.11082802727307,"GRM8","NS"
"REEP4",-0.368788002979013,4.12497814467137,-2.22375293345639,0.0303479155863527,0.0705658998146923,-4.11268414668084,"REEP4","NS"
"SLMO2-ATP5E",0.554438241399569,2.09460370170577,2.2237179197431,0.0303504135784341,0.0705658998146923,-4.11275493062121,"SLMO2-ATP5E","NS"
"CLYBL",-0.386607794144739,1.89017538670789,-2.22334359520673,0.0303771304543527,0.0706157301898158,-4.11351160971605,"CLYBL","NS"
