"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010959","regulation of metal ion transport","36/980","408/18986",0.0882352941176471,1.7094237695078,3.3794502196305,0.00124725834334992,0.0415780683987856,0.0374574017490675,"GCG/EDN3/LRRC26/MIR192/FXYD3/SRI/P2RX4/GPD1L/ADRA2A/LGALS3/AKAP7/SLC9A1/NEDD4L/FKBP1B/WNK2/CHP1/AKAP5/KCNS3/ATP2C2/PTK2B/PKP2/ANK3/KCNG1/DPP10/AFG3L2/CAMK2D/AKAP9/ATP1B3/ATP1B1/ATP2B1/PRSS8/TSPAN13/KCNJ2/WNK4/BAK1/CAB39",36
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","18/980","157/18986",0.114649681528662,2.22116209541141,3.58442278725382,0.00125927706358792,0.0416988611656079,0.0375662231390332,"EDN3/LRRC26/FXYD3/SRI/P2RX4/AKAP7/SLC9A1/WNK2/CHP1/AKAP5/CFTR/ANK3/CTSS/AKAP9/ATP1B3/ATP1B1/KCNJ2/BAK1",18
"GO:0034310","primary alcohol catabolic process","5/980","17/18986",0.294117647058824,5.69807923169268,4.52097697126634,0.00133331858955467,0.0438582346643581,0.0395115881784379,"AKR1B10/SULT1B1/SULT1A4/AKR1C3/ACSS2",5
"GO:0043302","positive regulation of leukocyte degranulation","6/980","25/18986",0.24,4.64963265306122,4.25988872173085,0.00141501622824868,0.0462393789849419,0.0416567450573762,"CD177/F2RL1/HLA-F/KLRC2/VAMP8/ADORA2B",6
"GO:0034762","regulation of transmembrane transport","41/980","487/18986",0.0841889117043121,1.63103130369191,3.29117498915717,0.00147033617818925,0.0477330705690587,0.0430024017439455,"ITLN1/CA2/EDN3/LRRC26/MIR192/FXYD3/SRI/P2RX4/APPL2/ADRA2A/AKAP7/SLC9A1/NEDD4L/FKBP1B/WNK2/CHP1/AKAP5/KCNS3/HK2/PTK2B/CFTR/ANK3/CTSS/KCNG1/DPP10/AFG3L2/CAMK2D/AKAP9/SIRT6/ATP1B3/ATP1B1/PSEN1/SLC6A9/TSPAN13/MINK1/KCNJ2/WNK4/OPN3/BAK1/SLC26A6/CAB39",41
"GO:0050891","multicellular organismal-level water homeostasis","7/980","34/18986",0.205882352941176,3.98865546218487,4.06909193304708,0.00150891754265597,0.04807662036127,0.0433119034375846,"SCNN1B/PRKACB/SCNN1A/CYP4F12/CFTR/MYO5B/ADCY6",7
"GO:0034765","regulation of monoatomic ion transmembrane transport","32/980","354/18986",0.0903954802259887,1.75127406894961,3.32874102024017,0.00154043342199421,0.04807662036127,0.0433119034375846,"EDN3/LRRC26/MIR192/FXYD3/SRI/P2RX4/ADRA2A/AKAP7/SLC9A1/NEDD4L/FKBP1B/WNK2/CHP1/AKAP5/KCNS3/PTK2B/CFTR/ANK3/CTSS/KCNG1/DPP10/AFG3L2/CAMK2D/AKAP9/ATP1B3/ATP1B1/SLC6A9/TSPAN13/KCNJ2/WNK4/BAK1/CAB39",32
"GO:0010952","positive regulation of peptidase activity","17/980","147/18986",0.115646258503401,2.24046924892406,3.52229286171028,0.00154379875495619,0.04807662036127,0.0433119034375846,"ATP2A3/XDH/EGLN3/FAM162A/TNFSF10/ACVR1C/CASP1/F3/LGALS9/GRAMD4/BCL2L11/BCL10/CLDN3/BAD/TBC1D10A/BAK1/EIF2AK3",17
"GO:0046887","positive regulation of hormone secretion","17/980","147/18986",0.115646258503401,2.24046924892406,3.52229286171028,0.00154379875495619,0.04807662036127,0.0433119034375846,"GCG/EDN3/UCN3/SRI/TRPM4/GNA11/CFTR/ILDR1/GIPR/MCU/SIRT6/VAMP8/BAD/C2CD2L/PPARG/TCF7L2/PFKFB2",17
"GO:0032414","positive regulation of ion transmembrane transporter activity","11/980","75/18986",0.146666666666667,2.84144217687075,3.72770199561499,0.00154867309398091,0.04807662036127,0.0433119034375846,"LRRC26/AKAP7/SLC9A1/WNK2/CHP1/CFTR/ANK3/CTSS/AKAP9/ATP1B3/ATP1B1",11
"GO:0071496","cellular response to external stimulus","11/980","75/18986",0.146666666666667,2.84144217687075,3.72770199561499,0.00154867309398091,0.04807662036127,0.0433119034375846,"CASP5/TLR3/SLC9A1/PTGER4/CDA/CASP1/MAPK3/BCL10/KCNJ2/BAD/BAK1",11
"GO:0090559","regulation of membrane permeability","11/980","75/18986",0.146666666666667,2.84144217687075,3.72770199561499,0.00154867309398091,0.04807662036127,0.0433119034375846,"TMIGD1/SLC9A1/CHCHD10/HK2/EYA2/BCL2L11/CLDN3/BAD/BAK1/PDCD6IP/SLC25A5",11
"GO:0007009","plasma membrane organization","19/980","173/18986",0.109826589595376,2.12772207148755,3.47620852197957,0.00156099495437835,0.0481581486856974,0.0433853517558835,"ANO7/ATP8B1/CASP7/TLCD2/NOX1/NDRG1/ANK3/BAIAP2L2/VPS4B/FA2H/WASL/PACSIN2/DNM2/CHMP1B/CLN3/IQGAP1/ARV1/PRKCD/S100A10",19
