"module","Progression","Normal","Primary_CRC","Metastasis"
"MEblack",0.0555875638069288,0.0905662551013823,-0.277412994985342,0.18684673988396
"MEmagenta",-0.100624908486719,0.242216542609582,-0.310145631213198,0.0679290886036156
"MEbrown",-0.719128937859943,0.644922153583696,-0.0442764496009289,-0.600645703982767
"MEblue",-0.755283994702579,0.728419801992997,-0.148649351017544,-0.579770450975453
"MEpink",-0.566214643752834,0.62449253764493,-0.268272544320439,-0.356219993324491
"MEred",-0.402724615952238,0.572569124425786,-0.447598752563633,-0.124970371862153
"MEyellow",0.341663536022998,-0.435612771629148,0.279446939772825,0.156165831856323
"MEgreen",0.716751776394039,-0.472291100981057,-0.296868291167609,0.769159392148666
"MEturquoise",0.68636061197544,-0.721341076662239,0.253870701068948,0.467470375593291
"MEgrey",-0.0475829335727379,0.0538957074720402,-0.0253753564229236,-0.0285203510491166
