"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"MYD88",-0.0236486369890301,4.75458157494994,-0.197269211120373,0.844353963347257,0.951843187565058,-6.65957799008231,"MYD88","NS"
"NIT1",0.0227829235043724,3.88912446351406,0.197257067798234,0.844363418626106,0.951843187565058,-6.65958039013458,"NIT1","NS"
"MRPL54",0.0244841652139947,5.04611839905213,0.197167760137207,0.84443295786969,0.951843187565058,-6.65959803670733,"MRPL54","NS"
"SENP7",0.0191739551911165,1.7672067278045,0.197150569836427,0.844446343208347,0.951843187565058,-6.65960143247541,"SENP7","NS"
"CCDC93",0.0142959186049199,2.82630490679637,0.197127735233042,0.84446412359105,0.951843187565058,-6.65960594276056,"CCDC93","NS"
"FAM69B",-0.0317600416160064,1.13121123918749,-0.19704427917547,0.844529108142652,0.951843187565058,-6.65962242254274,"FAM69B","NS"
"AMY2B",-0.0303936834367404,1.99637437149727,-0.197000559598875,0.844563151606895,0.951843187565058,-6.6596310529166,"AMY2B","NS"
"DVL2",-0.0205959346368543,3.37216976520275,-0.19683963764113,0.844688460534914,0.951855870788295,-6.65966280291401,"DVL2","NS"
"SAP30",0.0267949571360697,2.579160922819,0.196778469442486,0.844736092890653,0.951855870788295,-6.65967486464008,"SAP30","NS"
"KBTBD6",-0.0230738547785367,1.78463464982394,-0.196711666909118,0.844788113432,0.951855870788295,-6.6596880331213,"KBTBD6","NS"
"COG4",-0.021905039629559,3.9842005762805,-0.196452393463412,0.844990021719172,0.952003091923405,-6.65973910023093,"COG4","NS"
"BASP1",0.03881469435531,3.26142778037836,0.195883105607609,0.845433389344072,0.952422304056613,-6.65985099254937,"BASP1","NS"
"PARP14",0.0316114751416081,3.07120184106417,0.195763887328048,0.845526244224551,0.952446608946927,-6.65987438358718,"PARP14","NS"
"LYST",-0.0211628595378894,1.28754038522133,-0.195267645724376,0.845912772853377,0.952741002787667,-6.65997159511623,"LYST","NS"
"HERPUD2",-0.0188931989917327,3.56510253780996,-0.195245280416392,0.845930194362586,0.952741002787667,-6.65997597057848,"HERPUD2","NS"
"RPS3",0.0295115947481097,9.65583236955615,0.194956958759208,0.846154790124427,0.9529136372223,-6.66003233189909,"RPS3","NS"
"PANK4",0.017673446140952,2.78481547791873,0.194742950789822,0.846321505587396,0.952938942212396,-6.66007411254836,"PANK4","NS"
"AP1AR",0.0277675506586532,4.04013231161656,0.194671006219845,0.846377553090178,0.952938942212396,-6.66008814795243,"AP1AR","NS"
"FNBP4",0.0152909309648881,3.25306220387598,0.19465347413535,0.846391211358832,0.952938942212396,-6.66009156743814,"FNBP4","NS"
"CHST14",0.0267413416088025,2.17377050282155,0.194379238827794,0.846604858954904,0.953045297381837,-6.66014501470225,"CHST14","NS"
"TRAF4",0.0358742735985338,4.50480664631995,0.194349118898899,0.846628325095226,0.953045297381837,-6.66015088035887,"TRAF4","NS"
"NDUFS7",0.0285005924526223,6.2237967030745,0.194151154548177,0.846782560651585,0.953138621466303,-6.66018941001629,"NDUFS7","NS"
"XRCC5",0.0161868036932189,6.00833910958093,0.194004851242106,0.846896550565928,0.953186633142009,-6.66021785972488,"XRCC5","NS"
"PKD2",-0.0340965472023171,2.08088533229415,-0.193836789227624,0.847027497498566,0.9532331920087,-6.66025051413684,"PKD2","NS"
"RACGAP1",0.0416608185760872,3.29689824011482,0.193768642461304,0.847080595862244,0.9532331920087,-6.66026374698552,"RACGAP1","NS"
"LOC100505549",-0.0142668310932119,0.98584616996536,-0.19346475838469,0.84731738389733,0.953352540626854,-6.66032269912601,"LOC100505549","NS"
"MME",0.0508302103532023,1.09973673218258,0.193449402273737,0.847329349834195,0.953352540626854,-6.66032567568979,"MME","NS"
"RNF216P1",0.0212473370068529,2.17170473431738,0.193315395212817,0.847433773643555,0.953389751909168,-6.66035164103984,"RNF216P1","NS"
"JAGN1",-0.0193239437143751,4.4856970358049,-0.193121919475727,0.847584542745901,0.953479092454179,-6.66038909740589,"JAGN1","NS"
