"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"NDUFA13",-0.248944133479908,7.89690411538866,-1.41789175964803,0.161939776692582,0.233524638049458,-5.85162002093112,"NDUFA13","NS"
"C11orf35",-0.186362406870679,1.57297990742344,-1.41748127253446,0.162059120360609,0.233671518966058,-5.85218494318289,"C11orf35","NS"
"ETFB",0.246014512623754,6.34470528154779,1.41663219789338,0.162306194020965,0.234002520987066,-5.85335297854141,"ETFB","NS"
"SLFN11",-0.23037018288042,1.89771903662025,-1.41651210578785,0.162341163395007,0.234027686404583,-5.85351813165332,"SLFN11","NS"
"ABCC6",0.335867366303746,2.53967965088919,1.4160483536035,0.162476257293486,0.234197168279995,-5.85415577116303,"ABCC6","NS"
"FKBP15",0.105052092108755,3.04918037591987,1.41595094170758,0.162504645060947,0.234212821411323,-5.8542896837513,"FKBP15","NS"
"MCTP1",-0.245358344676082,1.29672504371648,-1.41538557482881,0.162669480177928,0.234425107219313,-5.85506672745451,"MCTP1","NS"
"ZNF498",-0.115963123702438,2.31269749098097,-1.41524982630005,0.162709077531571,0.23445688493226,-5.85525325819187,"ZNF498","NS"
"MOGAT3",-0.382732440149968,3.50673614776981,-1.41465056866524,0.162883968124489,0.234683586594719,-5.85607649387702,"MOGAT3","NS"
"RASSF2",-0.257048571507958,2.21523472155632,-1.41453142028866,0.162918758392346,0.234708404273695,-5.85624013649259,"RASSF2","NS"
"ZNF286A",0.11690301182319,1.08909030593854,1.41404976603879,0.163059455864085,0.234872348152169,-5.85690152718387,"ZNF286A","NS"
"LOC100129148",0.17741596853454,2.44878761076205,1.41399042129922,0.16307679774895,0.234872348152169,-5.85698300282976,"LOC100129148","NS"
"CENPBD1",0.131814788650431,1.75654986144948,1.4139613619026,0.163085290087998,0.234872348152169,-5.85702289793142,"CENPBD1","NS"
"ABHD14A",-0.15070149324972,2.38136205523494,-1.413592915397,0.163192994886223,0.235002133599495,-5.85752866525069,"ABHD14A","NS"
"MRPL1",0.157797568065646,4.18779520836978,1.41321549051101,0.163303381403253,0.235135752404124,-5.85804663036505,"MRPL1","NS"
"XPO6",0.110763389078426,4.38528967070896,1.41291148248597,0.163392337548715,0.235238488775555,-5.85846374731828,"XPO6","NS"
"BLNK",-0.269100561469396,3.30604479299077,-1.41270888494445,0.163451640698368,0.235290456246132,-5.85874167685038,"BLNK","NS"
"GPC1",0.354630722041275,2.74836446644705,1.41266786087601,0.163463651050205,0.235290456246132,-5.8587979504239,"GPC1","NS"
"RARG",0.257717734495281,2.95448755629649,1.41220239095931,0.163599971570176,0.235461311947511,-5.85943633900444,"RARG","NS"
"TUG1",-0.13368204095683,4.17507134505539,-1.41150504954137,0.163804364255092,0.235730093180026,-5.86039237218952,"TUG1","NS"
